park,year,month,month_number,visitors,total
Grand Canyon,1979,JAN,1,37002,2131716
Grand Canyon,1979,FEB,2,46043,2131716
Grand Canyon,1979,MAR,3,91927,2131716
Grand Canyon,1979,APR,4,123643,2131716
Grand Canyon,1979,MAY,5,205048,2131716
Grand Canyon,1979,JUN,6,297877,2131716
Grand Canyon,1979,JUL,7,338935,2131716
Grand Canyon,1979,AUG,8,350694,2131716
Grand Canyon,1979,SEP,9,294206,2131716
Grand Canyon,1979,OCT,10,187335,2131716
Grand Canyon,1979,NOV,11,98410,2131716
Grand Canyon,1979,DEC,12,60596,2131716
Saguaro,1979,JAN,1,54216,566486
Saguaro,1979,FEB,2,66330,566486
Saguaro,1979,MAR,3,79243,566486
Saguaro,1979,APR,4,65985,566486
Saguaro,1979,MAY,5,47707,566486
Saguaro,1979,JUN,6,35501,566486
Saguaro,1979,JUL,7,31567,566486
Saguaro,1979,AUG,8,34123,566486
Saguaro,1979,SEP,9,32988,566486
Saguaro,1979,OCT,10,33580,566486
Saguaro,1979,NOV,11,38193,566486
Saguaro,1979,DEC,12,47053,566486
Yellowstone,1979,JAN,1,23605,1892908
Yellowstone,1979,FEB,2,31992,1892908
Yellowstone,1979,MAR,3,17813,1892908
Yellowstone,1979,APR,4,34095,1892908
Yellowstone,1979,MAY,5,108952,1892908
Yellowstone,1979,JUN,6,313924,1892908
Yellowstone,1979,JUL,7,493902,1892908
Yellowstone,1979,AUG,8,493915,1892908
Yellowstone,1979,SEP,9,262786,1892908
Yellowstone,1979,OCT,10,76542,1892908
Yellowstone,1979,NOV,11,12698,1892908
Yellowstone,1979,DEC,12,22684,1892908
Zion,1979,JAN,1,8994,1040528
Zion,1979,FEB,2,12106,1040528
Zion,1979,MAR,3,23079,1040528
Zion,1979,APR,4,63306,1040528
Zion,1979,MAY,5,122964,1040528
Zion,1979,JUN,6,156734,1040528
Zion,1979,JUL,7,168614,1040528
Zion,1979,AUG,8,187461,1040528
Zion,1979,SEP,9,173883,1040528
Zion,1979,OCT,10,77131,1040528
Zion,1979,NOV,11,29139,1040528
Zion,1979,DEC,12,17117,1040528
Grand Canyon,1980,JAN,1,55634,2304973
Grand Canyon,1980,FEB,2,40800,2304973
Grand Canyon,1980,MAR,3,111283,2304973
Grand Canyon,1980,APR,4,135657,2304973
Grand Canyon,1980,MAY,5,300940,2304973
Grand Canyon,1980,JUN,6,231093,2304973
Grand Canyon,1980,JUL,7,382961,2304973
Grand Canyon,1980,AUG,8,379099,2304973
Grand Canyon,1980,SEP,9,264391,2304973
Grand Canyon,1980,OCT,10,194043,2304973
Grand Canyon,1980,NOV,11,119440,2304973
Grand Canyon,1980,DEC,12,89632,2304973
Saguaro,1980,JAN,1,54158,611317
Saguaro,1980,FEB,2,59758,611317
Saguaro,1980,MAR,3,107272,611317
Saguaro,1980,APR,4,64594,611317
Saguaro,1980,MAY,5,57424,611317
Saguaro,1980,JUN,6,38456,611317
Saguaro,1980,JUL,7,36438,611317
Saguaro,1980,AUG,8,38694,611317
Saguaro,1980,SEP,9,35032,611317
Saguaro,1980,OCT,10,40113,611317
Saguaro,1980,NOV,11,40028,611317
Saguaro,1980,DEC,12,39350,611317
Yellowstone,1980,JAN,1,24757,2000269
Yellowstone,1980,FEB,2,36373,2000269
Yellowstone,1980,MAR,3,28112,2000269
Yellowstone,1980,APR,4,32466,2000269
Yellowstone,1980,MAY,5,101988,2000269
Yellowstone,1980,JUN,6,325211,2000269
Yellowstone,1980,JUL,7,557810,2000269
Yellowstone,1980,AUG,8,523549,2000269
Yellowstone,1980,SEP,9,229396,2000269
Yellowstone,1980,OCT,10,93240,2000269
Yellowstone,1980,NOV,11,25773,2000269
Yellowstone,1980,DEC,12,21594,2000269
Zion,1980,JAN,1,15637,1123846
Zion,1980,FEB,2,17832,1123846
Zion,1980,MAR,3,32537,1123846
Zion,1980,APR,4,58225,1123846
Zion,1980,MAY,5,134747,1123846
Zion,1980,JUN,6,175129,1123846
Zion,1980,JUL,7,212492,1123846
Zion,1980,AUG,8,212223,1123846
Zion,1980,SEP,9,136648,1123846
Zion,1980,OCT,10,75312,1123846
